gyt: 4834,13982
oASPIREo: 9666,10348
henry912: 27652,27653
potato: 5522,20329
eva: 12119,35278
united丶小谦: 12601,12626
D-boy: 3566,3572
角落: 17134,17973
Lawliet: 1352,34072,42863
ヤo独特之蕞oοΟ : 13844,13890
等等: 12967,41578
简简单单: 7714,13132,45962
寂静忧郁: 29562,29643
翔弟弟: 28047,28051,28053
败家小太爷: 13741,15075
信使: 4180,24889
~水亦寒~: 31085,31087
Air: 39608,40930
神兽: 40846,40868,40874
vosc: 30233,30237
流云: 35965,38320,39204,45290
heihei: 1647,6616,11723,35327,40387,43128
菠萝: 7603,22024,23568,31829
sda: 29314,31144,41398
ZeRo: 4950,34082
sdd: 20428,37662
sdf: 9988,39891
ivan: 17979,27156,37656
逝去: 20549,20556
涛迷: 9779,23950,28986,29674,35397
鸟人: 1278,15309
狮子座: 2025,28624
小威: 14456,36611
鸡蛋: 339,1998
思考者: 1450,16705
YameteH: 3374,3376,28467
kdash: 11946,40954
物事人非: 18088,25792
杀生丸: 31158,31171
xiaopan: 6830,22063
无影脚: 9740,9771
xingxing: 819,30775
毛子: 2089,34401
小四: 2686,6403,17846,34955,46454
文心雕龙: 30621,43968
小健: 25415,34071,43414
啪啪熊: 32083,33052
丶力: 25648,25649
99: 2027,8001,27849
apple: 2361,19807,19809,34435,44347,46597
逗你玩: 5153,9528,37200
SB: 29654,41303
uphop: 31212,31215
FF: 400,12045,43692
xiaowei: 16293,31809
winter: 13162,30231,34418,38443,39572
随风而逝: 37557,41163
失落小星星: 20145,20154
SF: 14791,21805,27446,27865,37450
梦醒时分: 6745,18935
wacky: 9986,17214
SK: 368,1596,7060,9373,18897,21241,25718
建叔: 25864,25938
狮子挽歌: 26274,27274
NorthPM: 4096,10902
飞过海: 8366,8375,44352
箜羽: 16250,37922
honglingjay: 45704,45705
ma: 8689,12376
mc: 26395,35308
me: 9249,42450
流浪: 4214,5826,10969,25221,30542
如果: 4441,16259
zc: 11962,14515,46570
墨鱼: 10861,40689
木头: 5516,6127,8022,12588,16567,26917,28602
mj: 9468,9469
mm: 20225,28972
zk: 10444,14376,27450
zl: 31302,40025
love: 16376,26859
Jun: 9590,37060
小磊: 19537,32478
zq: 9183,9455
zr: 25923,30997
my: 19301,46689
zx: 5340,13698,40498
zy: 11424,20248,20360,44563
小牛: 6625,8767,9756,13828,33229
zz: 1371,9963,15761,22508,22551,22860,24416,28240,31127,37213,37959,44101,46172
wawa: 1799,8607,9479
龙岭: 30527,41548
小罗: 6517,9714,35063,40638,40974,43043,45914
fireman: 10493,21984
小牧: 31581,34553
酱油超人: 38177,38180
ooooooooooxxxxxxxxxxx: 21273,21277
GaoGao: 4326,4327,4328
浅蓝: 4676,7194,9304,21791,30535
皓月当空: 11661,22370
ppk: 19979,23394
dcb: 15656,15662
jingjing: 26133,44055,45037
豪情: 15865,16107
无知: 30368,43402
青虹: 4115,4118
红莲_天舞: 21229,21240
大屈: 29905,31673
黯灭: 5551,15359
上山打老虎: 5047,5569
凹凸曼: 1630,10936,13555,14900,33303,46750
小神仙: 34351,44546
黑暗游侠: 1185,17346,43468
panda: 4468,8941,11425,12552,19188,24584
天堂眼镜蛇: 37503,37507
晴天有雨: 112,10583
Arthas: 839,5997,9383
chivas: 13721,36708
大大: 321,5766,19697,22608
囧囧有神: 6930,32246,36211
Snake++: 20029,20200
枫叶: 1481,2095,14564,19230
晓晓: 13264,27872,36622,46248,46912
single: 16382,18621,41915
大头: 97,2545,21285,27321,40040
kakasankouding: 18090,18092
Ming: 10193,19160,21699
加菲猫: 1724,17848
刀刀: 10003,33161,39518
宁缺毋滥: 2191,29149,30833
晓波: 44228,44234
NeverMore: 629,4930,29980
Mum神恋: 27626,27628
小鸟: 13908,17002
xiaoyuan: 4362,32350
小鑫: 10808,21583
sychao1: 20487,20490
阿勇: 1931,20229
尘埃: 9101,36872
雷人: 11288,11328
薯宝: 8953,10498
墨水: 20703,41702,43123
伟伟: 641,23120,41781
Asuka: 46541,46572
守望者: 8811,16669,18928,29556
和谐: 8461,17395,32472,38167,38552
恋恋南极星: 12051,12110
海洋: 1135,9055,16741,19373
545906923: 24709,37377
蚂蚁: 6173,6652,18910,22978
　　: 11862,18831,19255
dingding: 2388,21169
峰~: 19733,19735
小伟: 1719,11396,17040,18962,32418
Eloge: 190,191
Jacky: 22662,23124,35710,38741
夜Zoz: 11618,11631
橙子: 31017,43568
迷 迷: 45706,45707
LOKI: 20289,43354
abc: 781,7963,10428,32112,33559,34362,35021,40814,43929
周周: 36907,43025
黑马: 4937,17267,20144
烟圈: 2048,15469
小王子: 15241,33756,33765
强强: 10309,32738,36499
夜无眠: 9064,9066
dota: 12213,15753,16322,16425,16436,20934,21781,23027,24629,30995,32311,35234,38077,38875,41799,42619,42810,43945,44338
辉辉: 15267,23405
七上八下: 8984,8994,35144
大怪兽: 25899,36290
傲气黑道爷: 14523,14533
820: 12324,45216
光光: 5562,11037
无奈的自己: 43517,43518
多情: 4224,39507
IGBT: 45683,45691
caonima: 16056,16068
Lilynette: 30147,30151
baoyulinqq: 15935,15938
开大奔的爷们: 41594,41596
月孤剑: 2517,2524
f284314143: 28227,28228
kaka: 391,1057,2706,4178,5254,11225,14064,14738,15401,16599,16611,26889,29893,30851,39068,39283,40197,42177,42181,45255
毛毛: 758,4257,5825,12984,18695,26204,33040,34219,34600,35920,35931,36063,38013,40012
似水流年: 738,18740,44511
小杯: 44017,44019
小杰: 30859,32486,32489
内牛满面: 1746,16028,28477,37682
shenjia: 11952,11990
落雨天使: 12478,12490
kaku: 9366,21987,32521
鄙人愚钝: 11655,32121
oopumn: 21676,43012
快乐游戏: 4542,40707,46303
Mr.Egg: 43825,43826
阿里卡卡: 20402,20444
369: 14074,14095
鼬之翼: 36385,40558
江南小狼: 39879,39880
nightofseven: 36973,36997
God_Stoper: 35141,35168
玄天: 456,5244
hebe: 11007,14561,39134
七月: 17499,25136
坤坤: 32324,32326,36110
taotao: 5527,32841,40797,41476
Key_T: 40966,40968
风色幻想: 2690,30216,30220,46491
Candy: 1946,2899,27589
风情: 40174,44031
待续: 8927,11849
asd321asd: 41136,41144
豆子: 5343,10242,17498,23345
Mr. GANKER: 6256,6269
1023: 10934,26430,26435
额癫屁癫屁的: 923,930
爽歪歪: 8116,45645
MoonLight_LFX: 37896,37901,41764
ghjrjhk: 30677,30679
binwyh: 5625,9287
月满京华: 35774,35778,35839
jay: 7280,14974,36043,40730,44403,45049
欢欢: 9614,41756
小丸子: 8816,8824,46623
SVray: 25185,25187
令人发狂的电脑: 26902,26904
达子: 4821,45945
不哭死神: 7669,21142
风来: 19561,19623
虾米: 2180,36245
随心: 10675,46238
菊花一紧: 12016,32554
Ran: 12741,41127
达哥: 23080,32830
没有: 7191,18430,44224
WnAware: 17972,17984
战神: 27428,44222
紫菜包饭: 23911,27696
戒哥: 45688,45697
Ray: 18359,27346,31425
小西: 10025,14253,14925
johnny: 14690,42286
阿乐: 21880,42658
aaaa: 8528,18121,21669,26300,30094,35362,39363,41918
无与伦比: 12248,27616,46220
wodefennu789: 20005,20010,20022
超人: 25039,34315
J.S.Nash: 12315,12361
Bison: 30057,30417,39597
初见: 4325,15508
aaas: 16880,16885
xia: 15457,15470
搁浅的渔夫: 24214,24295
邪狼傲楓: 31383,31385,31390,31392
11111: 69,7168,14505,27890,40285
Gaara: 2832,43602
xin: 4862,27565,28130,28131,45779,46460
ChristmasH: 10227,10415
little: 5243,5610
清叶: 19180,45096
Johnny: 8009,11234,19431
lin: 1970,3253,12903,15295,16813,17325,17414,17679,36113,38247,42293
liu: 15614,19344,21414,38176
轮回: 9887,11497,11517
浪子: 17692,24689
黑色: 8577,46538
fk.atm: 31526,31529
烟鬼: 41513,41674
fire: 1442,13983,16089
Blake: 19804,19808
Dust: 14343,17844
爱上九点半: 46590,46593
gaoyuan: 19550,19569
赤龙: 20285,21679
kent: 3419,4880
公子: 1262,37862,45393
阿洋: 765,15563
xiaofeng: 40180,42445
菜菜: 30934,33817,35794
bfmen: 45268,45271
shine: 10038,20091,38518,44933
gzg: 20126,36149
铨仔: 39080,39087
root: 6513,6514
善尛哥: 22269,43253
shadow: 7282,15911,16809,22071,22544,27276,33880,34229,36692,44144
小力: 23164,23168
O(∩_∩)O: 3709,34581,40681
小徐: 8336,27262
qiang: 16161,40715
ssss: 12876,39893
小夜: 17923,38700
pb08000: 20085,20120
54: 3967,3971
55: 32566,32573,40287
lawn: 44625,44632
meng: 33961,34830
阿暴: 32839,44883
DOTA小宇: 17144,46189
wuliao: 32549,36114
小天: 4438,9928,13879,17898,25831,35906,42055
xooz: 13832,15847
扣扣: 7722,36608
晓风: 20449,31999,33815
louyeah: 19700,21008
流逝一切: 12999,43423
跳跳: 282,40642,45750
OK: 1170,42226
MadicBird: 20187,20198
微笑: 18599,36619
fantasy: 1269,4098,10636,34894
victor: 18334,29536
振彪居士: 22905,35841
陌生人: 866,42560
雨天: 18351,19186
 Don't Cry: 13204,24686
丸子: 404,18077,20482
淡定哥: 2047,46544
44204: 7660,7662
向佐走向鼬走: 15383,15392
lucifer: 7367,10123,14398,14882,24449,27850,37271
宠男。: 2648,42918
酱油: 33326,35495,41015,44409
vigoss: 5994,11356,31461,32657,37206
最爱DOTA: 18073,30959,39703,46048
飞鸟: 11965,16170,41899
vk: 9279,9298,9303,9312,24830
vv: 29569,29577,41941
pedizen: 8977,9494
瀚瀚: 5381,46659,46664
FoRcE: 19498,19503
涛哥: 4025,8784,12384,14537,42074
风无痕: 13253,35928
sing: 17959,39465
叶子: 5052,6160,18478,33285,37038,43311
xiaofei: 6240,9081,33871,42510
aaaaa: 13670,33466,33487,35576,35608
狂奔的蜗牛: 1153,2542
Toxic丶4爷: 9086,9229
琥珀: 15586,26546,37675
mssunday: 9315,9929,9933
杨杨无殃: 9554,9556
LEE: 13912,31455
ＳЁv⑦ēЙ: 16941,21633
科比: 7707,9823,13030
chongzi: 5917,41511
Nirvana: 3565,17197,34704
adword: 31068,31154
zhangyong: 11337,38729
maical: 11991,15405
丁喜: 12586,46584
花猪: 20790,39467
大哥: 14463,14478,29749,45663
情殇: 15970,37112
潇潇: 5698,33576
17game: 4384,15407
fang~~~!: 23659,27547,28035,28036
手中的天下: 30546,30559
MS_坏蛋: 45812,45814
范尼: 21659,21661
jjmm07: 15047,31954
紫翮神龙: 32262,32268
hyhy: 29318,41543
低调: 2853,14664,15553,19994,30984,32717,33034,37822
顶海涛: 3157,32923
haha: 3700,4921,7791,8083,8702,11871,18081,19208,23321,25180,26365,27354,34734,34737,35051,35980,39448,39546,40593,41470,46234
第三颗智齿: 21154,21361
蓝梦随风: 12524,12546
yang: 16821,17236,18806,27802,30356,33804,42206,43052,43824,44136
sunshine: 29685,39346
814205556: 30459,30467,30480
Sevenday | Dota: 8533,8541
无风: 8004,33818
流浪剑客: 7498,7512
Mc_阳: 25249,25255
小一: 10384,11880
小七: 21451,32437,43147
lkzx007: 30041,30046,30054
小三: 9604,13563,29452,40905
罢罢: 29425,35551,41652,43150
牛牛: 2120,9441,9687,13693,28472,38469,44876
Brian: 19710,20369
silence: 20607,21603,27754,28844,31277,39335
小丑: 7566,7577,38975
关羽: 14597,38368
ykc: 45805,45808
传说: 11361,15791,32281,38295,38296,38300,45900
呆瓜: 7585,27913,31065,31095
小东: 30705,30743
oracle: 11803,11950
Panda水: 15771,15786
钢铁: 9631,38908
龙龙: 1514,2117,4223,17037,17044,26490,44999
唯一: 30913,43493
星空灿烂: 9125,9144
Panda: 10159,26287
帝陨: 20210,20275
死骑★巫妖王: 32607,32617
蛋疼帝: 28255,33078
猪蹄: 29520,44818
夜一: 17916,22921
hocl: 16148,16152
臭臭: 22943,46427
乄呔孑: 44658,44678
nashysy: 7093,19200
流浪猫: 4350,12860
future0102: 31100,41945
千树怜: 6714,16118
Joshua: 17112,26663
MT小软: 14897,14916
antares: 9000,32017
binbin: 5747,26596,38118
tom: 15667,25110,27329,37079
昆仑_空胧: 22435,22437
谦谦君子: 2058,34882
菜鸟: 6313,12348,13752,13843,16999,17750,18517,22577,24601,26260,28788,28793,31024,38238,41932,43467
无聊人士: 29876,40776
尘埃落定: 9345,26888,30164
JOJO: 20993,40801
jiuxi: 8978,46015
恰恰: 17719,38895,40271,40277
小猪猪: 10002,15969,25595,25891
大飞: 22760,29211,38564,41466
小波: 3624,7716,23868,37768
pipi: 12796,21665
finger: 2649,37473
天天向上飞: 18731,18733
parco: 6955,16601
kangkang: 9264,22739,43728
KLD: 40955,40957,44782
artestan: 38789,38792
myth: 15932,21690
lich: 5856,6247,16993,19831,23192
gaga: 21601,32424,42241
娃哈哈: 4978,6842
最爱当当: 9970,9999
杰杰: 40476,46436
KYO: 33237,36627
点点: 11964,23155,46677
solo: 34791,37137,42792,46037
licy: 29958,44333
boss: 40465,41494,43501
么么熊: 9879,9914
嘻嘻哈哈: 19502,19908,20097,20101,20102,22779,38476,44035
roger: 8089,34136,36190
weiwei: 14985,33907,42275,43454
妖怪: 26272,26835,26837,43677
snddje: 35253,35264
lostsoul: 15497,15527
jayson: 8772,45208
daniel: 7696,43008
阿龙: 31897,36020,38662,45236
dongge: 4515,17726
啊啊啊: 11197,19619,24988
kobe: 5161,27725
若，只如初见: 9417,9489
jjy: 6286,7653
蜜蜂: 14699,39139
残景: 14625,26085
clover: 3573,10035,14300
chongql2008: 15111,15113
疾风: 2325,22733
cheng: 32426,33751
秋元: 9821,9891
loading: 7505,33684,36694
ivy880314: 10432,19128,19132
Rayallen: 14761,29403
和谐帝: 21461,21466
就是杀: 42133,42135
星空小幻: 19799,20443
阳光: 16095,35337
Daniel: 8727,9266,16699,23007
龙滴滴: 44390,44392
cherish: 29634,32260
Beta: 23706,43696
will: 621,18402,25348,38939,39231,40838,44835,46084
Lulu: 11440,30943
SASA: 512,9580
MTX: 8897,8901
达达狼: 9411,12591
style: 10336,10373
葫芦: 21780,29545
潮汐: 12945,25096
ATM: 9621,16371,29080,30548,39442
moon: 7240,8919,9805,12127,13708,25631,35469,45679,45753
啊哈: 6020,26343
我勒个去: 8293,30553,46338
ATP: 1214,42862
蛮蛮: 4596,34130
tempercy: 16879,16895
engins: 21248,21253
bear: 18434,24865,35152
Mao: 26906,33266
lee: 813,7211,13425,17051,17816,18320,22799,37690,42527,43804,44207
夏天: 4579,22078,41094
lei: 3577,6222,34804
fancy: 15937,19362
Max: 7872,33457,45272
leo: 739,7633,8324,8684,11486,13902,18667,22193,29857,34066,34588,35772,37366,38703,39129,44081
Ang: 11393,11444
浅伤: 24422,46695
arthur: 4305,35155,37077
tlxxyy: 3817,7307
炫爱: 18875,18881
红茶: 4560,10460
qfqdxh: 13005,13011
Dior: 27476,34724
猪猪: 11881,17469,17566,32196,32537,43090
momo89: 12572,12578
曹操: 21728,29170,39445
gaara: 24051,24059
小冉: 29854,29856
yuge: 17584,17599
meoluo: 28791,28798
和谐DOTA: 2621,8774,11888,15058,27184,29275,36494,36515
白杨林: 43054,43055
Hey: 9307,33878
gin: 12008,46203,46206
愿和谐与你同在: 5902,5905
文盲: 10282,33603,44722
小子: 3979,7535,16980,21347,29549,38646,46576
支持海涛: 1328,5238,5320,9153,10992,11851,11868,12748,21194,24608,36875
evil: 23732,28432,34652
狼狼: 18373,21611,36800
11: 2713,8815,11763,24842,27430,28337,28634,29445,30293,30431,31211,43084,43635
和谐游戏: 11183,31871,45371
12: 33968,46394,46403
13: 19828,41826
zmc: 13314,15780,29660
速度: 2555,19534,43935
阿森: 12094,17771
小哥: 34543,38366
zzc: 4832,11196,36607
无双: 25991,30988
阿水: 51,41857
小孩: 12105,30796
醉清风: 6908,32403,45889
DOTA爱好者: 2966,22532,30549,31530
明媚: 6214,41598
zzp: 11420,35177
dhcmmq: 18220,35768
可惜不是你: 7580,29436,44237
农夫三拳: 28135,28136,28139
xiaoqiang: 44060,45593
ajia: 7270,19665
KG: 33629,41650
zzx: 38143,41001
june: 21131,38131,38568
zzz: 9975,10177,10180,14446,27906,31697,32251
KK: 14457,32571,32796,32799,40597
菜鸟玩dota: 9894,9924
请叫我小猫: 37288,45366
泡、沫√: 31296,31305
KO: 2264,10841
ABYSS: 8422,8431
Fantasy: 11191,21598,39589,46583
Roshan: 17009,27279,32096
这不还是玩爹呢?: 44535,44536
散人: 9032,10293
caicai: 9785,20817,31863
XX: 35157,39060
残⊥草: 25182,25184
